x,y,Class
88.3841315808506,68.26133450996358,B
89.95501441540074,36.82828664016683,A
88.38326489402903,81.84295640730309,B
28.45300943291988,67.6666125738016,D
68.10631790485203,29.56155322384866,A
71.38684133836394,59.10461584074858,B
16.41419637582115,20.582839209880788,C
15.844621877352045,43.27347428005636,C
78.01823048038864,83.79851451303034,B
53.7720516585551,69.99466904502057,B
73.29424390798458,51.166376960594,B
49.30313171723013,64.28645062048619,D
25.570527952327247,30.5693077273437,C
76.6460444563652,81.94261943227283,B
49.82954530086721,47.77533521615912,C
30.141140481633833,47.4769127836908,C
32.50358655305985,17.900994734992185,C
33.601376477743344,76.18611634728873,D
43.65794559474826,70.15851998119982,D
37.83796633612234,45.430162491265556,C
70.37988027726178,63.331831684839436,B
21.05894282132027,89.36878077375275,D
51.48310940813015,14.318842945408417,A
78.65484769875525,14.432077937424946,A
71.27017077492692,65.47464018284222,B
45.35985541728808,12.942812769396156,C
25.417298572419416,25.294416545607557,C
32.329166277303244,84.04602909233968,D
66.10676867149898,88.28010740670359,B
71.7802222829834,31.040323383825484,A
41.936309183068815,81.20763079349734,D
38.44926596933739,15.566681216695635,C
30.496982161265777,73.99867841080084,D
75.23996060644868,46.541078623004516,A
18.192081923000604,63.748022998484934,D
74.75856743183132,11.295192394316715,A
42.7235163898925,48.86933729024753,C
78.96232756697182,12.910622684967237,A
61.27584874196654,88.08682106192074,B
73.26266000937736,16.069685841723885,A
16.17668083414367,62.51024684745384,D
68.89924126260371,13.193494701630929,A
25.228901127108458,32.495787636133414,C
49.64784886048282,86.94546395994828,D
45.07764166450157,39.90140988475535,C
83.3498566367303,82.45117530890086,B
84.16958319657232,19.492394958768248,A
82.53579583493425,21.881484997122293,A
17.355953228098745,64.34399729082533,D
65.35755187526422,11.500735270839924,A
74.91078438404404,30.146025645198126,A
31.4188718044962,38.68177800968102,C
44.142012985659385,60.026206682292866,D
55.433575635132456,71.75555523577243,B
82.68674031746313,61.93512395627991,B
77.56609347728848,80.89419485055687,B
78.86778344357974,81.03318477654904,B
